Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1081995,2019-04-01,77345.00,NORTHERN COMMERCIALS,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103517,2019-04-01,14583.33,ACTION TOGETHER,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,d4001541,2019-04-01,12050.00,CROWTHER AND SHAW,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001540,2019-04-01,9500.00,F NEEDHAM,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027874,2019-04-01,6349.20,POSSABILITIES CIC TRADING,BUDGET TO BE ALLOCATED,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1082045,2019-04-02,144720.00,PETRUS,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082043,2019-04-02,70000.00,THE BOND BOARD LIMITED,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082044,2019-04-02,65700.00,BRENTWOOD,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082042,2019-04-02,51400.00,OLDHAM AND ROCHDALE GROUNDWORK TRUST LTD,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024410,2019-04-02,50000.00,N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,f1007761,2019-04-02,40252.39,CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,f1007766,2019-04-02,25864.00,MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,d1082034,2019-04-02,20000.00,TLC GARDEN SERVICES,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082036,2019-04-02,20000.00,DICK WHITTINGTON GUEST HOUSE,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082046,2019-04-02,18000.00,THE SANCTUARY TRUST,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082037,2019-04-02,14000.00,G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082038,2019-04-02,14000.00,G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1007760,2019-04-02,13520.98,CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,d1082035,2019-04-02,10000.00,ROCHDALE BOROUGHWIDE HOUSING,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017419,2019-04-02,6500.00,RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024418,2019-04-02,5807.24,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024412,2019-04-02,5554.61,UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024417,2019-04-02,5260.30,UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1017421,2019-04-02,5104.00,GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1082040,2019-04-02,5000.00,ROCHDALE HOUSING INITIATIVE,EXPENSES - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082041,2019-04-02,5000.00,247 HOTEL,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001546,2019-04-02,5000.00,WLG LTD,CATERING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017414,2019-04-02,5000.00,WHITEGATE NW LTD,"CLOTHES, UNIFORM AND LAUNDRY",EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1017415,2019-04-02,5000.00,WHITEGATE NW LTD,"CLOTHES, UNIFORM AND LAUNDRY",EARLY HELP AND SCHOOLS
Rochdale Borough Council,w1001986,2019-04-03,24719.52,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,OTHER AGENCIES,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1082078,2019-04-03,17552.50,GREENFINGERS LANDSCAPE LTD,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082052,2019-04-03,14569.02,NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017435,2019-04-03,8465.69,ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001222,2019-04-03,6067.55,CDEC LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082058,2019-04-03,5850.84,GREENFINGERS LANDSCAPE LTD,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017436,2019-04-04,50000.00,ADOPTION MATTERS NORTHWEST,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1082104,2019-04-04,9500.00,PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082100,2019-04-04,9100.00,PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082088,2019-04-04,8800.00,J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082090,2019-04-04,8500.00,J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082101,2019-04-04,8250.00,PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082089,2019-04-04,8200.00,J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082091,2019-04-04,8200.00,J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082092,2019-04-04,8200.00,D H MINICOACH HIRE,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082093,2019-04-04,8200.00,D H MINICOACH HIRE,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082102,2019-04-04,8000.00,PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082105,2019-04-04,7900.00,PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082099,2019-04-04,7550.00,PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027915,2019-04-04,423094.89,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1027914,2019-04-04,343486.85,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001226,2019-04-04,38458.37,SPECIALIST COMPUTER CENTRES PLC,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001694,2019-04-04,34450.00,UNITY PARTNERSHIP LTD,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3001695,2019-04-04,33250.00,UNITY PARTNERSHIP LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3001691,2019-04-04,16000.00,TRULINE CONSTRUCTION AND INTERIOR SERVICES LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001225,2019-04-04,9470.00,NEW MIND INTERNET CONSULTANCY LTD,PUBLICITY,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002080,2019-04-04,9000.00,PENNINE PROSPECTS,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,s1024431,2019-04-04,5464.36,UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3001697,2019-04-05,50000.00,INTEGRATED WATER SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001229,2019-04-05,28480.20,PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001699,2019-04-05,23303.77,CADENT GAS LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1082133,2019-04-05,6622.37,GROUNDWORK LANDSCAPES LIMITED,REPAIRS & ALTS OF BUILDINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027921,2019-04-05,5480.00,REAL TRUST,TRAINING-NON QUALIFICATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1007780,2019-04-07,50000.00,CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,x1017453,2019-04-08,68000.00,ADOPTION MATTERS NORTHWEST,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1017454,2019-04-08,30000.00,CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2001231,2019-04-08,136000.00,BT WHOLESALE BROADBAND,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082143,2019-04-08,109041.27,ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027934,2019-04-08,71999.99,POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001232,2019-04-08,42058.17,CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001561,2019-04-08,13250.12,B AND M WASTE SERVICES,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001556,2019-04-08,7941.00,ELECTRICITY NORTH WEST LTD,SPECIFIED MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082146,2019-04-08,6237.00,ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,e1027923,2019-04-08,5310.84,ACCESS EXPEDITIONS,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1082190,2019-04-09,10650.00,ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082177,2019-04-09,10400.00,GPD TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082189,2019-04-09,10400.00,ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082192,2019-04-09,10400.00,ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082194,2019-04-09,9300.00,COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082191,2019-04-09,9100.00,ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082173,2019-04-09,9000.00,GPD TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082161,2019-04-09,8600.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082163,2019-04-09,8600.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082188,2019-04-09,8400.00,DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082162,2019-04-09,8300.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082187,2019-04-09,8300.00,DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082184,2019-04-09,8200.00,DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082185,2019-04-09,8100.00,DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082186,2019-04-09,8000.00,DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082199,2019-04-09,8000.00,OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082200,2019-04-09,7900.00,OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082182,2019-04-09,7800.00,COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082198,2019-04-09,7100.00,OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082167,2019-04-09,7000.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082196,2019-04-09,7000.00,OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082193,2019-04-09,6600.00,DK MINIBUSES LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082197,2019-04-09,6600.00,OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082174,2019-04-09,6500.00,GPD TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082175,2019-04-09,6200.00,GPD TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082171,2019-04-09,6100.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082176,2019-04-09,6100.00,GPD TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082168,2019-04-09,6000.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082159,2019-04-09,5600.00,DIAMOND NO1 CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082156,2019-04-09,5500.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082172,2019-04-09,5300.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082169,2019-04-09,5000.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001235,2019-04-09,48024.00,GAMMA BUSINESS COMMUNICATIONS,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001234,2019-04-09,37920.00,BLUERAQ NETWORKS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001717,2019-04-09,31054.70,SYNTAX CONTROLS LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001238,2019-04-09,25000.00,GAMMA BUSINESS COMMUNICATIONS,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103546,2019-04-09,23778.61,BIG LIFE CENTRES,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d2001236,2019-04-09,12837.83,SYMOLOGY LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001237,2019-04-09,12531.00,CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082205,2019-04-09,8000.00,PIPER MUSIC MANAGEMENT LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103543,2019-04-09,6457.71,BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
Rochdale Borough Council,d1082219,2019-04-10,9700.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017469,2019-04-10,9000.00,STOCKPORT METROPOLITAN BOROUGH COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1082234,2019-04-10,6500.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082288,2019-04-10,6400.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082236,2019-04-10,6000.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082253,2019-04-10,5300.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082222,2019-04-10,5100.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027953,2019-04-10,707876.13,AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3001723,2019-04-10,87024.00,G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,f1007799,2019-04-10,80000.00,DISCLOSURE AND BARRING SERVICE,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d1082299,2019-04-10,30639.00,STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001251,2019-04-10,15150.00,OXFORD COMPUTER CONSULTANTS LIMITED,IT MAINTENANCE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3001719,2019-04-10,10960.00,NB WORX LTD,REPAIRS & ALTS OF BUILDINGS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d4001583,2019-04-10,8758.36,B AND M WASTE SERVICES,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001990,2019-04-10,8385.67,PENNINE CARE NHS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d4001582,2019-04-10,8000.00,UNIVERSAL LAUNDRY SERVICES,"CLOTHES, UNIFORM AND LAUNDRY",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001259,2019-04-11,62988.00,ZEN INTERNET LIMITED,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001589,2019-04-11,30000.00,LANCASHIRE CHAIR COVERS,EXPENSES - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024467,2019-04-11,27272.73,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001257,2019-04-11,25224.00,DAISY COMMUNICATIONS LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1007805,2019-04-11,20000.00,CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,d2001256,2019-04-11,16601.36,IHS GLOBAL LTD,SOFTWARE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1024470,2019-04-11,12423.00,K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024470,2019-04-11,12423.00,K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024471,2019-04-11,6429.64,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024464,2019-04-11,6408.80,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024472,2019-04-11,5629.34,UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3001725,2019-04-11,5000.00,BESPOKE COMPLETE SERVICES LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,x1017502,2019-04-12,7000.00,CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2001266,2019-04-12,586343.00,AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001604,2019-04-12,120136.56,EXCLUSEC,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001263,2019-04-12,47353.00,AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024485,2019-04-12,36722.33,N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,r1002090,2019-04-12,19200.00,POOLE DICK ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1024481,2019-04-12,7820.77,ELDERCARE UK LTD,EQUIPMENT - GENERAL,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1017503,2019-04-12,5885.20,NATRE,COSTS MET BY SCHOOL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1007811,2019-04-12,5000.00,CRITIQOM LIMITED,PRINTING,RESOURCES
Rochdale Borough Council,d1082350,2019-04-15,668577.60,FAUN ZOELLER UK LTD,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082358,2019-04-15,78313.00,EXCLUSEC,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001738,2019-04-15,40875.00,GTM ELECTRICAL SERVICES LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1027965,2019-04-15,12750.00,BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1017505,2019-04-15,10675.00,THE DARTINGTON HALL TRUST,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,f1007814,2019-04-15,5893.00,CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,d1082384,2019-04-16,6500.00,MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082382,2019-04-16,5000.00,MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082383,2019-04-16,5000.00,MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001740,2019-04-16,130288.79,NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3001741,2019-04-16,109547.15,NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1007818,2019-04-16,36600.00,NORTHGATE PUBLIC SERVICES UK LTD,SOFTWARE,RESOURCES
Rochdale Borough Council,r1002092,2019-04-16,24583.44,BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,f1007819,2019-04-16,20630.00,NORTH WEST EMPLOYERS,SUBSCRIPTIONS,RESOURCES
Rochdale Borough Council,ph103553,2019-04-16,9161.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1024507,2019-04-16,6046.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001279,2019-04-17,65625.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001280,2019-04-17,65625.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001276,2019-04-17,54000.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002095,2019-04-17,53300.00,DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001281,2019-04-17,52800.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082406,2019-04-17,41460.00,SSI SCHAEFER LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002094,2019-04-17,38356.50,GILLESPIES LLP,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001282,2019-04-17,26400.00,GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001745,2019-04-17,12560.00,MEASURE 2 IMPROVE,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001287,2019-04-17,7322.00,AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001275,2019-04-17,5657.76,SPECIALIST COMPUTER CENTRES PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001747,2019-04-17,5559.70,SAFEGARD SOLUTIONS LTD,SECURITY,ECONOMY DIRECTORATE
