Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,s1025225,2019-10-01,"£19,156.80",K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025225,2019-10-01,"£19,156.80",K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,e1028896,2019-10-01,"£12,960.00",OLDHAM AMATEUR RUGBY LEAGUE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084465,2019-10-01,"£8,675.00",ROSE PROJECT MANAGEMENT LTD,ARCHITECTS FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008349,2019-10-01,"£5,000.00",REDACTED - PERSONAL DATA,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,s1025230,2019-10-02,"£488,440.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,INDEPENDENT UNITS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,e1028898,2019-10-02,"£426,600.93",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008351,2019-10-02,"£84,656.74",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008353,2019-10-02,"£67,908.91",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008354,2019-10-02,"£67,908.91",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008355,2019-10-02,"£67,908.91",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1008350,2019-10-02,"£62,134.81",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,d2001827,2019-10-02,"£18,522.00",LIQUIDLOGIC LTD,IT MAINTENANCE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008352,2019-10-02,"£11,509.52",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,d3002565,2019-10-02,"£11,348.52",C E S LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084477,2019-10-02,"£6,237.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d3002564,2019-10-02,"£5,900.00",COMPLETE CONSTRUCTION,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002570,2019-10-03,"£1,309,992.54",BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1084493,2019-10-03,"£28,024.14",ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002573,2019-10-03,"£22,158.73",J GREENWOOD (BUILDERS) LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1028903,2019-10-03,"£12,960.00",RAISE THE YOUTH FOUNDATION CIC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1025234,2019-10-03,"£10,577.68",POLLOCK LIFTS,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,r1002256,2019-10-03,"£9,128.11",B C REAL ESTATES LTD,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1084503,2019-10-03,"£7,722.00",ROCHDALE BOROUGHWIDE HOUSING,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018567,2019-10-03,"£6,563.25",ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph103922,2019-10-03,"£5,279.82",ROCHDALE HOUSING INITIATIVE,EQUIPMENT - GENERAL,PUBLIC HEALTH
Rochdale Borough Council,ph103923,2019-10-03,"£5,000.00",GMCA,ACTIVITIES,PUBLIC HEALTH
Rochdale Borough Council,d2001840,2019-10-04,"£52,800.00",GRAVITAS RECRUITMENT GROUP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084509,2019-10-04,"£31,215.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001841,2019-10-04,"£20,160.00",GRAVITAS RECRUITMENT GROUP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028906,2019-10-04,"£11,403.00",INSPIRE TRAINING AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001843,2019-10-04,"£10,049.52",PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001838,2019-10-04,"£5,895.00",OLDHAM COUNCIL,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008367,2019-10-07,"£711,443.96",GMCA,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001854,2019-10-07,"£586,343.00",AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001853,2019-10-07,"£106,224.00",XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028910,2019-10-07,"£90,289.65",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001848,2019-10-07,"£26,880.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084526,2019-10-07,"£25,000.00",WHEELDON BROTHERS WASTE LIMITED,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103928,2019-10-07,"£17,133.13",SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1025240,2019-10-07,"£6,217.76",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084561,2019-10-08,"£9,100.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084562,2019-10-08,"£6,500.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084570,2019-10-08,"£6,000.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084567,2019-10-08,"£20,000.00",247 HOTEL,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008372,2019-10-08,"£17,042.00",CAPITA BUSINESS SERVICES LIMITED,BANK CHARGES,RESOURCES
Rochdale Borough Council,d1084550,2019-10-08,"£8,432.16",DIRECT TYRE MANAGEMENT LTD,TYRES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084547,2019-10-08,"£5,861.25",JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028922,2019-10-09,"£33,600.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008375,2019-10-09,"£25,253.00",BLOOM PROCUREMENT SERVICES LTD,AGENCY STAFF,RESOURCES
Rochdale Borough Council,ph103931,2019-10-09,"£21,278.24",BIG LIFE CENTRES,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d2001866,2019-10-09,"£18,356.96",PLURALSIGHT,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084575,2019-10-09,"£10,295.00",GROUNDWORK LANDSCAPES LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018619,2019-10-09,"£9,930.00",ME LEARNING LIMITED,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,ph103932,2019-10-09,"£9,832.16",RIS PRODUCTS LTD,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,x1018618,2019-10-09,"£5,280.00",LINK4LIFE CHARITY,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084576,2019-10-09,"£5,080.00",GROUNDWORK LANDSCAPES LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002600,2019-10-10,"£113,468.00",NB WORX LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002261,2019-10-10,"£25,193.38",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,d1084615,2019-10-10,"£17,552.50",GREENFINGERS LANDSCAPE LTD,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084611,2019-10-10,"£17,060.00",RUSHTONS DEVELOPMENTS LTD,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084614,2019-10-10,"£10,000.00",WHEELDON BROTHERS WASTE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002262,2019-10-10,"£8,600.00",PRICE AND MYERS,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,e1028946,2019-10-10,"£6,950.00",THE AWARDS SCHEME LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002593,2019-10-10,"£5,311.00",ROAD SAFETY SERVICES LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084618,2019-10-11,"£86,775.00",BLOOM PROCUREMENT SERVICES LTD,ARCHITECTS FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103938,2019-10-11,"£60,511.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,BASIC SALARIES,PUBLIC HEALTH
Rochdale Borough Council,r1002264,2019-10-11,"£49,584.56",ROCHDALE DEVELOPMENT AGENCY,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103937,2019-10-11,"£30,000.00",LINK4LIFE CHARITY,LINK 4 LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,d2001880,2019-10-11,"£18,152.00",SMOOTHWALL LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018647,2019-10-11,"£8,609.25",ADVANCED CHILD CARE ASSESSMENTS LIMITED,MEDICAL FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,s1025261,2019-10-11,"£6,894.95",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025260,2019-10-11,"£5,843.78",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001883,2019-10-14,"£58,500.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008395,2019-10-14,"£20,000.00",CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,f1008389,2019-10-14,"£8,213.99",HSBC MERCHANT SERVICES,BANK CHARGES,RESOURCES
Rochdale Borough Council,x1018661,2019-10-15,"£18,000.00",HERTFORDSHIRE COUNTY COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3002626,2019-10-15,"£123,448.00",ROSSLEE CONSTRUCTION,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,x1018675,2019-10-15,"£60,500.00",OLDHAM COUNCIL,CONTRACTED SERVICES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1018663,2019-10-15,"£41,549.00",MANCHESTER CITY COUNCIL,FEES / COMMISSION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,f1008402,2019-10-15,"£38,490.23",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008403,2019-10-15,"£37,799.03",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,x1018662,2019-10-15,"£30,000.00",SALFORD CITY COUNCIL,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3002620,2019-10-15,"£28,544.56",CHRISTMAS PLUS LTD,CHRISTMAS DECORATIONS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1028967,2019-10-15,"£20,209.45",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028969,2019-10-15,"£12,441.00",HORIZON CARE AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028968,2019-10-15,"£11,712.00",WARGRAVE HOUSE SCHOOL AND COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1018664,2019-10-15,"£9,900.00",HAMPTONS RESOURCING LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2001884,2019-10-15,"£9,367.50",DAISY COMMUNICATIONS LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008400,2019-10-15,"£7,500.00",MHR,SOFTWARE,RESOURCES
Rochdale Borough Council,e1028959,2019-10-15,"£5,335.00",DEEPLISH ACADEMY,REPAIRS & ALTS OF BUILDINGS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002269,2019-10-16,"£53,934.72",BLOOM PROCUREMENT SERVICES LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025275,2019-10-16,"£42,686.43",N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1025276,2019-10-16,"£42,686.43",N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1025279,2019-10-16,"£23,480.00",CHERISH UK LTD,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1018679,2019-10-16,"£17,799.66",CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1018680,2019-10-16,"£17,799.66",CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1084675,2019-10-16,"£8,621.42",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028983,2019-10-16,"£7,200.00",AXIOM EDUCATION ROCHDALE LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1025272,2019-10-16,"£6,037.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025277,2019-10-16,"£5,848.88",FUTURE DIRECTIONS CIC,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,e1028979,2019-10-16,"£5,000.00",RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028980,2019-10-16,"£5,000.00",RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084689,2019-10-17,"£7,800.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084681,2019-10-17,"£6,200.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002638,2019-10-17,"£268,698.34",GTM ELECTRICAL SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002633,2019-10-17,"£12,817.77",UNITY PARTNERSHIP LTD,MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1025285,2019-10-17,"£10,158.00",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3002640,2019-10-17,"£9,270.65",UNIVERSAL RENEWABLES O AND M LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1025291,2019-10-17,"£8,734.84",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084684,2019-10-17,"£7,700.00",F S MOULT AND SON,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025292,2019-10-17,"£6,317.47",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001887,2019-10-17,"£5,541.72",KHIPU NETWORKS LTD,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025293,2019-10-17,"£5,415.30",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025289,2019-10-17,"£5,321.64",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025294,2019-10-17,"£5,139.26",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025284,2019-10-17,"£5,022.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,e1029000,2019-10-18,"£794,911.43",AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1084705,2019-10-18,"£31,002.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025302,2019-10-18,"£10,000.00",S MUSTAFA LIMITED,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,e1028997,2019-10-18,"£9,049.22",AXIOM EDUCATION ROCHDALE LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1025299,2019-10-18,"£5,581.62",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084701,2019-10-18,"£5,000.00",REDACTED - PERSONAL DATA,OTHER POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1029003,2019-10-21,"£23,500.00",IMOSPHERE LIMITED,LICENCE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001892,2019-10-21,"£13,688.33",BUCHANAN COMPUTING LTD,SOFTWARE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph103948,2019-10-21,"£13,612.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1025307,2019-10-21,"£11,510.27",POLLOCK LIFTS,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084714,2019-10-21,"£10,000.00",NO GRAFFITI LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001893,2019-10-21,"£9,246.50",DAISY COMMUNICATIONS LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025310,2019-10-21,"£5,618.97",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025312,2019-10-21,"£5,575.23",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025306,2019-10-21,"£5,286.45",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084710,2019-10-21,"£5,117.00",EMO OIL LIMITED,OIL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084727,2019-10-22,"£53,820.00",F S MOULT AND SON,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025313,2019-10-22,"£22,868.00",GMCA,SERVICE LEVEL AGREEMENTS,COMMISSIONING AND STATUTORY
Rochdale Borough Council,d1084730,2019-10-22,"£21,932.00",THE SANCTUARY TRUST,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002278,2019-10-22,"£13,034.20",ROCHDALE DEVELOPMENT AGENCY,CONTRACTED SERVICES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1084732,2019-10-22,"£10,000.00",OLDHAM AND ROCHDALE GROUNDWORK TRUST LTD,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001895,2019-10-22,"£8,799.00",XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1018705,2019-10-22,"£8,065.20",CONTACT GROUP,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d2001896,2019-10-22,"£5,250.00",ARTIFAX SOFTWARE LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002673,2019-10-23,"£40,000.00",ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002674,2019-10-23,"£14,090.00",PTSG ELECTRICAL SERVICES LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001902,2019-10-23,"£6,500.00",DATABASE SERVICE PROVIDER GLOBAL LTD,IT EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002280,2019-10-24,"£44,750.00",METCRAFT LIGHTING LIMITED,ENGINEERS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1018748,2019-10-24,"£8,901.46",ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008436,2019-10-24,"£5,240.48",HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES
Rochdale Borough Council,d1084770,2019-10-25,"£23,000.00",SHE SOFTWARE LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025325,2019-10-25,"£6,633.19",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025324,2019-10-25,"£5,158.97",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1084785,2019-10-28,"£41,651.10",ROCHDALE BOROUGHWIDE HOUSING,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002282,2019-10-28,"£15,000.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d3002690,2019-10-28,"£6,634.14",STEVE GREEN ELECTRICAL LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002692,2019-10-28,"£5,960.00",GTM ELECTRICAL SERVICES LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,x1018762,2019-10-29,"£114,011.24",BOLTON MBC,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3002701,2019-10-29,"£961,662.50",BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029036,2019-10-29,"£22,184.52",NEW BRIDGE  SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008447,2019-10-29,"£21,000.00",AON LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d1084822,2019-10-29,"£15,600.00",ROCHDALE HOUSING INITIATIVE,BUILDINGS-ACQUISITIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002697,2019-10-29,"£14,706.00",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1008448,2019-10-29,"£13,871.42",AON LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d1084807,2019-10-29,"£9,240.00",HIGH PEAK FORENSICS LTD,OTHER POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002695,2019-10-29,"£8,269.00",STEVE GREEN ELECTRICAL LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029040,2019-10-29,"£8,149.79",PENNINE CARE NHS,HEALTH AUTH - SERVICE LEVEL AGREEMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002284,2019-10-29,"£7,292.00",GENR8 DEVELOPMENTS LLP,CONDITION SURVEYS,ECONOMY DIRECTORATE
Rochdale Borough Council,ph103965,2019-10-29,"£6,617.93",BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
Rochdale Borough Council,d1084797,2019-10-29,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084798,2019-10-29,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084799,2019-10-29,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1084800,2019-10-29,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002705,2019-10-30,"£368,650.17",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002713,2019-10-30,"£39,410.00",GROUNDWORK LANDSCAPES LIMITED,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
